Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
140216-CW,Professional Services for SIRE Upgrade to Version 6.6,James K. Painter,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/06/2014,,
140217-CB,Preponderance Study for the Symphony Park Tourism Improvement District,"Civitas Advisors, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/12/2014,,
150018-RF,Mutual Use Contract for Aftermarket Auto Parts,"Elliot Auto Supply Co., Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/13/2014,,
140114-TB,WPCF and Remote Sites SCADA Rewrite Services Contract,"Wunderlich-Malec Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/14/2014,,08/14/2018
150007-DC,MTSA for Martin L. King Widening (Metro Headquarters to Costco),"Geotechnical and Environmental Services, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/18/2014,,
150017-JL,Electronic Health Records Sharing,"HealtHIE Nevada,",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/18/2014,,08/18/2018
150024-JL,Public Works Videoconferencing Software,"Zoom Video Communications, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/18/2014,,08/18/2018
150032-JL,CrowdHall Software,CrowdHall LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/19/2014,,08/19/2018
150038-RH,2014 Business License Survey Agreement,"Modern Survey, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/20/2014,,
130212-CB,Sports Management Consulting Services for Downtown Arena Project,"Conventions, Sports and Leisure International",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/21/2014,,
150033-RH,Medical District Research and Analysis Agreement,Applied Analysis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/21/2014,,
14.35426-TB,Rancho Drive and Decatur Boulevard Improvements,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/25/2014,,
14.53541.01-TB,WPCF Blower Replacement,"MWH Constructors, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/25/2014,,
14.69111.03-JH,Municipal Pool Smart Pool Control System,"Allure Contracting LLC, dba Allure Pool & Spas",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/26/2014,,
12.45921-TF-B,CMAR for Downtown Pedestrian and Bicycle Improvements - Bridger Ave,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/27/2014,,
14 69111 03-JH,Municipal pool Smart Pool Control System,"Allure Contracting, LLC dba Allure Pool & Spas",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/27/2014,,
140191-JH,Waste and Recycling Management Monitoring Services,Simple Environmental Services Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/27/2014,,
150013-JH,Certified Environmental Manager for Performance of Environmental Services at Fire Station No. 1,Broadbent.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/27/2014,,08/27/2017
14.45001-TB,Sewer Rehabilitation Group C,Las Vegas Paving,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/28/2014,,
14.45001-TB,Sewer Rehabilitation Group C,Las Vegas Paving,BID FILES,,08/28/2014,,
150042-JL,2014 KCLV Channel 2 Viewership Survey,"FMR Associates, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/28/2014,,08/28/2018
150009-DC,MTSA for Rampart Boulevard Sewer Diversion,"Terracon Consultants, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/04/2014,,
150019-RF,Mutual Use Contract for Regenerative Street Sweepers,H&E Equipment,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/04/2014,,
150025-JL,Team Viewer Software License,TeamViewer,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/04/2014,,09/04/2018
150026-JL,Mail Chimp Software License,Mail Chimp,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/04/2014,,09/04/2018
150041-RH,2014 Community Survey Engagement,ETC Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/10/2014,,
140003-CW,RSOQ for Architectural Photography,"Square Shooting, LLC",BID FILES,,09/11/2014,,
140003-CW,RSOQ for Architectural Photography,"Square Shooting, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/11/2014,,
140003-CW,RSOQ for Architectural Photography,"Square Shooting, LLC",BID FILES,,09/11/2014,,
150014-JH,Sponsorship Agreeement Green Chips Leadership Academy,"Green Chips, Inc",BID FILES,,09/11/2014,,
150044-CB,Contract for Fire Captain Examination for Las Vegas Fire and Rescue,Hargis and Associates,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/11/2014,,
13.37815-TB,Martin Luther King Boulevard Improvements Metro Headquarters to Costco,Aggregate Industries SWR Inc,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,09/16/2014,,03/15/2015
13.37815-TB,Martin Luther King Boulevard Improvements Metro Headquarters to Costco,Aggregate Industries SWR Inc,BID FILES,,09/16/2014,,03/15/2015
150036-CB,Capacity License Conversion Agreement,"Commvault, Systems, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/17/2014,,09/30/2018
150015-TF,City Hall Space Utilization Project,Steinmann Facility Developments Consultants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/18/2014,,
150056-PH,NIGP Seminar Agreement,National Institute of Governmental Purchasing (NIGP),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/18/2014,,
150029-JH,Terrestrial Mobile Laser Scanning & Surface Modeling Services W. Charleston Bus Turnouts,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/23/2014,,
140214-TB,PDSC for WPCF Digester Condition Assessment and Rehabilitation Design,"MWH Americas, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/24/2014,,06/30/2018
140197-JH,City of LV Bicycle Program Coordinator Pilot Program,Outside Las Vegas Foundation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/30/2014,,12/31/2017
150010-JL,Employee Defensive Driving Program,Team Payne,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/30/2014,,12/31/2018
150060-JL,Enterprise Project Management Software,"Wrike, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/30/2014,,09/30/2018
130157-RH,Business Licensing Implementation and Training,Infor Global Business Solutions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/01/2014,,
150052-DD,Music Show License Agreement,"Tams-Whitmark Music Library, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/01/2014,,
14.42464-TB,Bonanza Road-Dike Lane Parking Lot,Aggregate Industries SWR Inc.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/02/2014,,
14.42464-TB,Bonanza Road-Dike Lane Parking Lot,Aggregate Industries SWR Inc.,BID FILES,,10/02/2014,,
150049-TF,PSA Summerlin Parkway Traffic Capacity & Safety,GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/02/2014,,12/15/2016
140184-TG,Electrical Wire,Consolidated Elecrical Distributors DBA Vegas Electric Supply,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/06/2014,,12/06/2019
150040-RH,Medical Marijuana Business License Agreement,"Infor Public Sector, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/06/2014,,
150045-RH,Capital Improvement Projects (CIP) Project Management System Requirements,IAG Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/06/2014,,
150059-GL,True Colors Train the Trainer Speaker Agreement,"Spectrum of Success, Don Lawhead",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/06/2014,,
140150-TF,RFP for Downtown Master Plan,RTKL Nevada Corp.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/08/2014,,12/01/2016
140150-TF,RFP for Downtown Master Plan,RTKL Nevada Corp.,BID FILES,,10/08/2014,,12/01/2016
140150-TF,RFP for Downtown Master Plan,RTKL Nevada Corp.,BID FILES,,10/08/2014,,12/01/2016
140150-TF,RFP for Downtown Master Plan,RTKL Nevada Corp.,BID FILES,,10/08/2014,,12/01/2016
150061-CB,Facilitated Discussion on Crisis Intervention with LVF&R,"Leslie Stein dba Full Circle Inspiration, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/08/2014,,
150048-JH,PSA for City Center Garage Lighting Replacemen,"EXP SErvices, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/09/2014,,
120009-PH,Pre-Qualified Local Artists Roster,See 120056-PH and 120068-PH,BID FILES,,10/12/2014,,
150022-RF,Cisco SMARTnet Maintenance,Dyntek Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/13/2014,,
150022-RF,Cisco SMARTnet Maintenance,Dyntek Services,BID FILES,,10/13/2014,,
13.38420-DC,CMAR for Main/Commerce One-Way Couplet Las Vegas Boulevard to Bonneville Avenue,Las Vegas Paving Corp.,BID FILES,,10/15/2014,,
13.38420-DC,CMAR for Main/Commerce One-Way Couplet Las Vegas Boulevard to Bonneville Avenue,Las Vegas Paving Corp.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/15/2014,,
13.38420-DC,CMAR for Main/Commerce One-Way Couplet Las Vegas Boulevard to Bonneville Avenue,Las Vegas Paving Corp.,BID FILES,,10/15/2014,,
14.1762.03-JH,Sanitary Sewer Rehabilitaion Downtown Alleys Repair,"Tand, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/15/2014,,
14.1762.03-JH,Sanitary Sewer Rehabilitaion Downtown Alleys Repair,"Tand, Inc.",BID FILES,,10/15/2014,,
14.46656-TB,Sewer Rehabilitation Group F,Las Vegas Paving Corporation,BID FILES,,10/15/2014,,
14.46656-TB,Sewer Rehabilitation Group F,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/15/2014,,
14.46802-JH,Sewer Rehabilitation Group B,Las Vegas Paving Corporation,BID FILES,,10/15/2014,,
14.46802-JH,Sewer Rehabilitation Group B,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/15/2014,,
140184-TG,Electrical Wire,Consolidated Elecrical Distributors DBA Vegas Electric Supply,BID FILES,,10/16/2014,,
140151-TF,RFP for Franchise Auidte & Analysis,MuniServices LLC,BID FILES,,10/20/2014,,11/30/2019
140151-TF,RFP for Franchise Auidte & Analysis,MuniServices LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/20/2014,,11/30/2019
150068-DD,Retainer Agreement,Holley Driggs Walch Puzey & Thompson,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/20/2014,,10/20/2015
150067-GL,2015 Values Conference Speaker Agreement - Germaine,Vital Germaine,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/23/2014,,
150077-SK,Schneider Electric Control Upgrade,Schneider Elecrtric USA,BID FILES,,11/20/2014,,06/30/2015
14.69111.02-JH,Doolittle Community Center Pool Deck Replaster,"Adam's Tile and Plaster of Las Vegas, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/29/2014,,
14.69111.02-JH,Doolittle Community Center Pool Deck Replaster,"Adam's Tile and Plaster of Las Vegas, Inc.",BID FILES,,10/29/2014,,
150050-CB,Contract for Actuarial Consulting Services,"Oliver Wyman Actuarial Consulting, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/29/2014,,
150075-RF,Mutual Use for Vactor 2103 Jet Rodder NJPA,Haaker Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/29/2014,,
150080-JL,WP Engine Software,WP Engine,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/29/2014,,10/29/2018
14.19201.01-JH,Buckskin Basin Synthetic Track Surfacing Removal and Replacement,Sunland Inc. Asphalt and Sealing DBA Sunland Asphalt,BID FILES,,10/30/2014,,
14.19201.01-JH,Buckskin Basin Synthetic Track Surfacing Removal and Replacement,Sunland Inc. Asphalt and Sealing DBA Sunland Asphalt,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/30/2014,,
140154-GL,RSOQ for Nuisance Property and Building Abatement Services,Multiple contracts being managed by Code Enforcement,BID FILES,,10/30/2014,,
140154-GL,RSOQ for Nuisance Property and Building Abatement Services,Multiple contracts being managed by Code Enforcement,BID FILES,,10/30/2014,,
150051-TF,PSa for Main Street Garage IT Room Conversion,Gary Guy Wilson AIA P.C. ARchitects,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/30/2014,,
130018-TB-A,Building Plans Examination Services,Interwest Consulting Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/04/2014,,11/01/2018
140069-DG-LV2,Generator Maintenance and Repair,W. W. Williams Southwest Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/04/2014,,11/04/2018
150054-DD,Data Sharing Agreement and MOU,Homeless Management INformation Systems (HMIS),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/04/2014,,11/01/2016
150082-GL,2015 Values Conference Speaker Agreement - Horsager Leadership,Horsager Leadership,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/04/2014,,
14.29930-DC,Durango Hills Relief Sewer Project,Contri Construction Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,11/05/2014,,
14.29930-DC,Durango Hills Relief Sewer Project,Contri Construction Company,BID FILES,,11/05/2014,,
140070-DC,RSOQ Construction Management Service for Traffic Package 6B,"CM Works, Inc.",BID FILES,,11/05/2014,,11/05/2019
140070-DC,RSOQ Construction Management Service for Traffic Package 6B,"CM Works, Inc.",BID FILES,,11/05/2014,,11/05/2019
140070-DC,RSOQ Construction Management Service for Traffic Package 6B,"CM Works, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/05/2014,,
150031-RH,INFOR Public Sector Suite Project Manager Services,ISIS Solution Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/05/2014,,11/10/2017
150055-CB,Contract for Comprehensive Physical Examination Services,"Terrence Ballard, MD, PC deb Welltrac",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/05/2014,,10/31/2015
150086-GL,2015 Values Conference Speaker Agreement - Ross Bernstein,Ross Bernstein,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/05/2014,,
150058-JH,PSA for Central LV Bike Parking,Kimley Horn and Associates Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/10/2014,,11/10/2018
150064-JH,PSA for Variety Early Learning Center Renovation at Lorenzi Park,JBA Consulting Engineers,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/10/2014,,11/10/2018
150065-TF,PSA for City of Las Vegas Mobility Master Plan (2015-2035),CH2M Hill Engineers Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/10/2014,,09/30/2018
140175-CB,RFP Facilities Master Plan for the Las Vegas Medical District,"Smithgroup, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/19/2014,,09/30/2015
140175-CB,RFP Facilities Master Plan for the Las Vegas Medical District,"Smithgroup, LLC",BID FILES,,11/19/2014,,09/30/2015
140175-CB,RFP Facilities Master Plan for the Las Vegas Medical District,"Smithgroup, LLC",BID FILES,,11/19/2014,,09/30/2015
150081-GL,2015 Values Conference Speaker Engagement - Bond,Walter Bond,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/19/2014,,
150085-TF,PSA Fire Protection Engineering D&E Isolation Cell Addition,PCNA Consulting Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/20/2014,,12/01/2016
14.53489-TF,Teton Trails Park Heckethorn Restroom,"Richardson Contruction , Inc.",BID FILES,,11/25/2014,,
14.53489-TF,Teton Trails Park Heckethorn Restroom,"Richardson Contruction , Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,11/25/2014,,
150012-SK,Club Car Utility Maintenance and Repair,Taylored Fleet Solutions Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/01/2014,,05/30/2020
150071-GL,2015 Values Conference Speaking Engagement - Murphy,Michael Murphy of M Power Ltd.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/01/2014,,
150088-GL,2015 Values Conference Speaker Agreement - Stein,"Leslie Stein of Full Circle Inspiration, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/01/2014,,
130033-CW,Court Recording System Maintenance,Jefferson Audio Video Systems (JAVS),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/02/2014,,
13.46803-TF,Sewer Rehabilitation Group E,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/04/2014,,
13.46803-TF,Sewer Rehabilitation Group E,Las Vegas Paving Corporation,BID FILES,,12/04/2014,,
130018-TB-B,Building Plans Examination Services,BureauVeritas North America,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/04/2014,,11/01/2018
150062-RF,Ford OEM Mechanical Repair,Friendly Ford,BID FILES,,12/04/2014,,11/30/2019
150062-RF,Ford OEM Mechanical Repair,Friendly Ford,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/04/2014,,11/30/2019
150084-RH,Final Cut Server Migration for KCLV,1303 Systems,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/04/2014,,01/31/2019
150083-DC,Westside School Historic Rehabilitation Material Testing & Special Inspection,Ninyo & Moore,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/09/2014,,12/09/2019
140212-CW,RSOQ for Charleston Heights Art Project,"D Arte Designs, LLC dba Garden of Diversity, a Limited Liability Company",BID FILES,,12/11/2014,,
140212-CW,RSOQ for Charleston Heights Art Project,"D Arte Designs, LLC dba Garden of Diversity, a Limited Liability Company",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/11/2014,,
150066-TF,World War II Suburban Residential Housing Historic Context Report,"Logan Simpson Design, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/15/2014,,
150066-TF,World War II Suburban Residential Housing Historic Context Report,"Logan Simpson Design, Inc.",BID FILES,,12/15/2014,,
12.43221-DC-B,Westside School Historic Rehabilitation,Whiting-Turner Contracting Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/17/2014,,
140059-RH,On-Call Oracle Consultant Services,"3Di, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/17/2014,,
150043-TG,Traffic Sign Refurbishment,"Z.A.P. Manufacturing, Inc.",BID FILES,,12/18/2014,,12/18/2019
150043-TG,Traffic Sign Refurbishment,"Z.A.P. Manufacturing, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/18/2014,,12/18/2019
150027-TB,BSC Chemical Accident Prevention Program (CAPP) Related Consulting Services,Angelo & Newton,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/22/2014,,12/22/2018
14.53809-TF,City Center Place Parking Garage Groundwater Dewatering (Temporary),"MMC, Inc",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/23/2014,,
150105-TF,PSA City Center Place Parking Dewatering Temporary Treatment,Ninyo & Moore,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2014,,12/01/2015
150089-DD,Portable Outdoor Audio System,3 G Productions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/24/2014,,02/02/2015
150089-DD,Portable Outdoor Audio System,3 G Productions,BID FILES,,12/24/2014,,02/02/2015
150035-CB,New Markets Tax Credit Accounting and Compliance Services,Cohnreznick LLP,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/25/2014,,12/31/2024
12.23870-CB,Charleston Median Island Landscaping – Sixth Street to Maryland Parkway,CG&B Enterprises Inc.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/30/2014,,
12.23870-CB,Charleston Median Island Landscaping – Sixth Street to Maryland Parkway,CG&B Enterprises Inc.,BID FILES,,12/30/2014,,
150047-DG,Tree Trimming Services,"West Coast Arborists, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/30/2014,,
150096-TG,RFQ Chemicals,United Laboratories Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/05/2015,,12/31/2019
150090-SK,Compressor Station Generators,Cashman Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/08/2015,,12/31/2016
150104-RF,Mutual Use for High Pressure Surface Cleaner,Nilfisk-Advance Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/08/2015,,
150100-GL,2015 Values Conference Speaker Agreement - Rosenberg & Collinsworth,Paul Rosenberg & Brandon Collinsworth,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/09/2015,,
150101-TG,ARC for 980 ATC Controllers,"Southwest Traffic Systems, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/13/2015,,01/13/2020
150113-GL,2015 Values Conference Speaker Agreement - Emerge Leadership Group,Jim Wentworth / Emerge Leadership Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/13/2015,,
14.69111.04-JH,Durango Hills Community Center Pool Replaster,"R.O.W. Custom Enterprises, NV Inc.",BID FILES,,01/14/2015,,
14.69111.04-JH,Durango Hills Community Center Pool Replaster,"R.O.W. Custom Enterprises, NV Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/14/2015,,
140215-TB,PDSC for Sewer Rehabilitation Group N - Final Design,"MWH Americas, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/14/2015,,10/30/2017
14.69111.05-JH,ROOF REPLACEMENT FIRE STATION 7 AND FIRE STATION 9,Western Single Ply,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/15/2015,,
14.69111.05-JH,ROOF REPLACEMENT FIRE STATION 7 AND FIRE STATION 9,Western Single Ply,BID FILES,,01/15/2015,,
14.69111.05-JH,ROOF REPLACEMENT FIRE STATION 7 AND FIRE STATION 9,Western Single Ply,BID FILES,,01/15/2015,,
14.69111.05-JH,ROOF REPLACEMENT FIRE STATION 7 AND FIRE STATION 9,Western Single Ply,BID FILES,,01/15/2015,,
150095-GL,2015 Values Conference Speaker Agreement - Josh Stevens Foundation,Josh Stevens Foundation / Drew Stevens,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/22/2015,,
150106-RF,Wheelchair Accessible Bus,Creative Bus Sales,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/26/2015,,
150112-CB,PDSC for Shadow Lane Improvements,"Horrocks Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/26/2015,,01/30/2017
150115-TF,PSA for Environmental Consulting Services,Jacobs Engineering Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/26/2015,,01/25/2016
150110-JL,Insperity Software Licenses,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/29/2015,,01/28/2019
14.1762.04-JH,2015 Annual Sanitary Sewer Rehabilitation,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/03/2015,,
14.1762.04-JH,2015 Annual Sanitary Sewer Rehabilitation,Las Vegas Paving Corp,BID FILES,,02/03/2015,,
150057-CB,Contract for Background Screening Services for New Applicants and Existing Employees,"Southeastern Security Consultants, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/05/2015,,09/30/2019
150099-TF,PSA for Sidewalk Infill - Medical District & Area 2B,Kimley Horn and Associates Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/05/2015,,12/01/2017
150102-CB,Agreement for Use of National Child Protection Act (Civil Applicant Fingerprint Response Program),Nevada Department of Public Safety,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/05/2015,,
150135-JL,Minnesota Multistate Contracting Alliance for Pharmacy Agreement,Minnesota Multistate Contracting Alliance for Pharmacy,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/05/2015,,02/05/2019
150117-JH,DSA for Adobe Hut at Tule Springs,Melvyn Green & Associates Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/10/2015,,
150069-CB,Unemployment Claims Management Services,"Employers Unity, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/11/2015,,06/30/2020
150028-JL,Fingerprint Channeling Services,"MorphoTrust USA, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,12/31/2050
150037-SK,Confier Bark for Biofilters,Hydro Management of Nevada,BID FILES,,02/19/2015,,
150037-SK,Confier Bark for Biofilters,Hydro Management of Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,
150111-JL,Caseware Software Licenses,CaseWare International Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,02/19/2019
150123-TF,PSA for Charleston Blvd Corridor Study: Grand Central to Maryland Pkwy,C A Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,03/01/2016
150124-TF,East Charlston Boulevard Corridor Study,GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,03/01/2016
150125-TF,PSA for Symphony Park Pedestrian Bridge North,GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,03/01/2016
150126-RH,Consulting and Service Agreement - EDDI Project Manager,"Fiala Project Resources, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,02/22/2019
