district;school;growthstatus;pctpassingeogtests;pctfreereduced;hasstringsprogram;schoolscore;grade
Catawba County Schools;Harry M Arndt Middle;Exceeded;57.0;58.5;0;65;C
Charlotte-Mecklenburg Schools;Park Road Montessori;Met;79.3;11.8;0;78;B
Guilford County Schools;Brightwood Elementary;NotMet;36.9;87.7;0;43;D
Burke County Schools;Ray Childers Elementary;NotMet;61.6;70.1;0;61;C
Bladen County Schools;Bladenboro Middle;NotMet;34.4;73.1;0;39;F
Bertie County Schools;Windsor Elementary;Met;41.3;89.1;0;48;D
Beaufort County Schools;Southside High;Met;44.8;65.2;0;66;C
Wake County Schools;Apex High;Exceeded;80.6;9.5;1;86;A
Wayne County Public Schools;Wayne Early / Middle College High;Met;91.1;37.9;0;92;A
Iredell-Statesville Schools;N B Mills Elementary;NotMet;34.2;86.6;0;39;F
Stokes County Schools;Germanton Elementary;Exceeded;64.7;48.0;0;70;B
Catawba County Schools;Banoak Elementary;Exceeded;63.4;61.1;0;68;C
Cabarrus County Schools;Patriots Elementary;Met;65.0;33.1;0;69;C
Caldwell County Schools;Whitnel Elementary;Met;51.0;86.1;0;57;C
Charter Schools;Lake Lure Classical Academy;Met;65.1;20.6;0;69;C
Charter Schools;Charlotte Choice Charter;Met;24.7;81.2;0;34;F
Caldwell County Schools;Hibriten High;Met;57.1;50.5;0;72;B
Scotland County Schools;I E Johnson Elementary;NotMet;35.0;;0;42;D
Franklin County Schools;Laurel Mill Elementary;NotMet;40.8;81.0;0;46;D
Charter Schools;Langtree Charter Academy;Exceeded;73.5;8.0;0;76;B
Davidson County Schools;Friedberg Elementary;Met;71.5;30.8;0;73;B
Charter Schools;Henderson Collegiate;Exceeded;70.8;87.2;0;77;B
Wake County Schools;Knightdale High;Exceeded;44.7;55.5;0;64;C
Charter Schools;Crosscreek Charter School;Met;53.6;13.2;0;58;C
Charter Schools;Endeavor Charter;Exceeded;90.0;;0;90;A
Charter Schools;Z.E.C.A. School of Arts and Technology;NotMet;17.8;83.5;0;28;F
Charter Schools;Thomas Jefferson Class Academy;Exceeded;84.4;16.4;0;86;A
New Hanover County Schools;Wrightsville Beach Elem;Met;87.8;10.4;0;86;A
Chatham County Schools;Perry W Harrison Elementary;Met;71.5;25.0;0;74;B
Gaston County Schools;Bessemer City Middle;Met;35.5;76.5;0;43;D
Chatham County Schools;Moncure School;Exceeded;62.6;44.0;0;68;C
Cherokee County Schools;Andrews High;NotMet;49.6;55.1;0;64;C
Wake County Schools;Apex Elementary;NotMet;76.3;33.5;0;74;B
Charter Schools;Vance Charter School;NotMet;66.1;18.7;0;66;C
New Hanover County Schools;A H Snipes Academy of Arts/Des;Exceeded;31.4;;0;43;D
Granville County Schools;Joe Toler-Oak Hill Elementary;Met;41.1;69.6;0;49;D
Wayne County Public Schools;Eastern Wayne Middle;Exceeded;42.5;62.3;0;52;D
Kannapolis City Schools;Forest Park Elementary;Exceeded;52.9;68.0;0;60;C
Columbus County Schools;Tabor City Elementary;Exceeded;45.3;86.7;0;54;D
Craven County Schools;Grover C Fields Middle;Exceeded;58.2;62.9;0;64;C
Craven County Schools;Bridgeton Elementary;Exceeded;58.5;62.4;0;65;C
Montgomery County Schools;Green Ridge Elementary;Met;38.3;85.5;0;47;D
Lincoln County Schools;S Ray Lowder Elementary;Met;56.9;70.5;0;61;C
Harnett County Schools;Overhills Elementary;Met;53.1;46.8;0;59;C
Columbus County Schools;Chadbourn Middle;Met;30.9;90.5;0;41;D
Cherokee County Schools;Tri-County Early College High;NotMet;73.7;39.4;0;79;B
Cherokee County Schools;Hiwassee Dam Elementary/Middle;Met;45.5;67.9;0;51;D
Columbus County Schools;Acme Delco Elementary;Met;37.0;73.1;0;44;D
Duplin County Schools;North Duplin Jr Sr High;Met;51.7;58.3;0;61;C
Cleveland County Schools;Kings Mountain High;Met;63.8;48.0;0;75;B
Columbus County Schools;South Columbus High;Met;49.1;52.9;0;65;C
Cleveland County Schools;Grover Elementary;Met;63.4;78.0;0;66;C
Sampson County Schools;Union Intermediate;Met;50.3;85.0;0;56;C
Cleveland County Schools;West Elementary;Met;76.3;53.6;0;77;B
Clay County Schools;Hayesville Middle;Met;54.6;58.9;0;61;C
Cumberland County Schools;Elizabeth M Cashwell Elementary;Exceeded;43.1;84.1;0;53;D
Cumberland County Schools;Reid Ross Classical Middle;Exceeded;55.5;66.3;0;62;C
Cumberland County Schools;Manchester Elementary;Exceeded;44.3;82.9;0;53;D
Hoke County Schools;SandHoke Early College High;NotMet;66.3;49.3;0;73;B
Cumberland County Schools;R Max Abbott Middle;NotMet;51.0;55.9;0;52;D
Moore County Schools;Carthage Elementary;Exceeded;56.0;58.9;0;64;C
Cumberland County Schools;Cliffdale Elementary;Met;42.3;79.2;0;50;D
Cumberland County Schools;Long Hill Elementary;Met;71.5;35.9;0;74;B
Cumberland County Schools;Douglas Byrd Middle;Met;35.0;84.5;0;44;D
Wake County Schools;Adams Elementary;Met;76.0;37.0;0;77;B
Davidson County Schools;Friendship Elementary;Exceeded;71.2;36.8;0;74;B
Davidson County Schools;Ledford Senior High;Exceeded;64.3;28.8;0;76;B
Gaston County Schools;South Point High;Exceeded;63.1;32.8;0;77;B
Davidson County Schools;North Davidson High;Met;66.6;27.3;0;77;B
Davidson County Schools;Pilot Elementary;Met;57.6;55.7;0;63;C
Harnett County Schools;Harnett Primary;Met;38.5;84.9;0;46;D
Durham Public Schools;Bethesda Elementary;Exceeded;39.9;84.0;0;49;D
Wilson County Schools;Lucama Elementary;NotMet;67.7;75.9;0;67;C
Richmond County Schools;Rohanen Middle;NotMet;35.3;83.0;0;42;D
Durham Public Schools;DPS Hospital School;N/A;7.9;37.3;0;6;F
Duplin County Schools;Charity Middle;NotMet;43.1;77.0;0;48;D
Wake County Schools;Richland Creek ES;Met;58.4;49.4;0;63;C
Gaston County Schools;Carr Elementary;Met;43.5;79.1;0;51;D
Durham Public Schools;Fayetteville Street Elementary;Met;26.1;;0;38;F
Iredell-Statesville Schools;Central Elementary;Exceeded;71.8;46.3;0;75;B
Iredell-Statesville Schools;West Iredell Middle;NotMet;42.6;63.0;0;47;D
Iredell-Statesville Schools;Cool Spring Elementary;Met;72.1;49.9;0;74;B
Iredell-Statesville Schools;Third Creek Elementary;Met;43.8;84.0;0;52;D
Iredell-Statesville Schools;Brawley Middle;Exceeded;70.8;15.9;0;74;B
Hoke County Schools;Scurlock Elementary;NotMet;31.9;75.7;0;37;F
Pitt County Schools;Falkland Elementary;NotMet;37.3;81.6;0;42;D
Wake County Schools;North Ridge Elementary;Met;63.4;39.6;0;67;C
Robeson County Schools;Rowland Middle;Met;39.8;93.0;0;48;D
Hyde County Schools;Ocracoke School;Exceeded;83.9;;0;86;A
Pitt County Schools;South Greenville Elementary;NotMet;26.1;85.0;0;33;F
Rockingham County Schools;South End Elementary;Met;42.8;74.3;0;51;D
Pitt County Schools;Lakeforest Elementary;NotMet;30.1;85.5;0;36;F
Polk County Schools;Polk County Middle School;Met;70.8;56.8;0;72;B
Polk County Schools;Polk County Early College;Met;73.2;50.0;0;77;B
Pitt County Schools;Northwest Elementary;Met;58.7;94.7;0;63;C
Pitt County Schools;Ridgewood Elementary;Met;67.5;47.6;0;70;B
Wake County Schools;Brentwood Elementary;Met;47.4;74.3;0;53;D
Pitt County Schools;C M Eppes Middle;NotMet;34.7;78.0;0;39;F
New Hanover County Schools;Gregory School of Math Science and Tech;NotMet;42.7;84.8;0;48;D
New Hanover County Schools;D.C. Virgo Preparatory Academy;Met;25.2;88.7;0;36;F
New Hanover County Schools;Dr John Codington Elem;Exceeded;88.1;25.4;0;88;A
New Hanover County Schools;Williston Middle;Exceeded;43.1;81.4;0;52;D
Nash-Rocky Mount Schools;Southern Nash Middle;NotMet;44.2;66.7;0;47;D
New Hanover County Schools;Eugene Ashley High;Met;63.8;40.0;0;75;B
Robeson County Schools;Pembroke Elementary;Met;37.6;76.7;0;45;D
Wake County Schools;Rolesville Elementary;Met;72.4;39.4;0;75;B
Randolph County Schools;Farmer Elementary;Met;60.3;45.5;0;63;C
New Hanover County Schools;Isaac M Bear High;Exceeded;;47.6;0;98;A
Robeson County Schools;Rowland Norment Elementary;Exceeded;52.6;74.9;0;59;C
Pasquotank County Schools;Northeastern High;Exceeded;46.1;52.7;0;66;C
Orange County Schools;New Hope Elementary;Exceeded;56.5;61.4;0;64;C
Pamlico County Schools;Pamlico County High;NotMet;45.0;52.0;0;60;C
Pender County Schools;West Pender Middle;NotMet;38.9;82.4;0;43;D
Pender County Schools;Topsail Elementary;Met;71.3;31.0;0;73;B
Onslow County Schools;Trexler Middle;NotMet;51.8;39.3;0;54;D
Person County Schools;Southern Middle;Met;49.5;62.4;0;56;C
Pitt County Schools;Ayden Middle;NotMet;48.1;66.2;0;50;D
Pitt County Schools;A G Cox Middle;Met;55.2;44.7;0;59;C
Lenoir County Public Schools;Lenoir County Early College High;Met;65.5;52.0;0;79;B
Lincoln County Schools;Pumpkin Center Intermediate;Exceeded;75.6;37.5;0;78;B
Lenoir County Public Schools;North Lenoir High;NotMet;36.0;52.1;0;50;D
Kannapolis City Schools;Woodrow Wilson Elementary;Met;47.7;84.1;0;54;D
Lincoln County Schools;North Brook Elementary;Met;65.8;58.3;0;69;C
Lincoln County Schools;GE Massey Elementary;Met;54.5;77.1;0;60;C
Macon County Schools;Highlands School;Exceeded;68.3;49.3;0;73;B
Lincoln County Schools;St James Elementary;Met;80.5;28.0;0;81;B
Lincoln County Schools;West Lincoln High;Met;57.1;53.0;0;69;C
Lee County Schools;East Lee Middle;NotMet;43.8;64.9;0;45;D
Macon County Schools;Mountain View Intermediate;Exceeded;53.7;65.8;0;60;C
Moore County Schools;Southern Pines Elementary;Exceeded;64.1;50.7;0;70;B
Richmond County Schools;L J Bell Elementary;Exceeded;58.1;66.4;0;64;C
Nash-Rocky Mount Schools;Rocky Mount Middle;NotMet;26.5;87.6;0;32;F
Martin County Schools;E J Hayes Elementary;NotMet;43.6;78.7;0;48;D
Macon County Schools;Nantahala School;Exceeded;54.8;75.5;0;66;C
Moore County Schools;Cameron Elementary;NotMet;55.8;56.5;0;59;C
Martin County Schools;East End Elementary;Met;29.7;91.6;0;41;D
McDowell County Schools;Marion Elementary;Met;61.5;68.6;0;64;C
Moore County Schools;Southern Middle;NotMet;44.1;60.5;0;47;D
Hertford County Schools;Hertford Co Early College;Exceeded;66.7;63.4;0;84;B
Harnett County Schools;Lillington-Shawtown Elementary;Met;37.5;66.0;0;47;D
Henderson County Schools;Hillandale Elementary;Exceeded;62.0;66.1;0;67;C
Henderson County Schools;North Henderson High;Exceeded;60.0;52.7;0;75;B
Henderson County Schools;Edneyville Elementary;NotMet;49.7;71.8;0;51;D
Hickory City Schools;W M Jenkins Elementary;Exceeded;68.1;47.7;0;73;B
Hertford County Schools;Hertford County High;Exceeded;35.8;72.8;0;60;C
Haywood County Schools;Bethel Elementary;Exceeded;75.3;55.5;0;77;B
Hertford County Schools;Riverview Elementary;Met;37.6;88.6;0;46;D
Haywood County Schools;Bethel Middle;Exceeded;65.8;48.0;0;71;B
Union County Public Schools;Sun Valley Middle;Exceeded;65.6;37.1;0;70;B
Guilford County Schools;Southeast Guilford Middle;NotMet;52.6;43.7;0;55;C
Harnett County Schools;Boone Trail Elementary;NotMet;45.9;62.3;0;50;D
Halifax County Schools;Hollister Elementary;NotMet;32.8;91.8;0;38;F
Guilford County Schools;Sternberger Elementary;Met;76.0;17.3;0;76;B
Montgomery County Schools;Candor Elementary;NotMet;49.9;92.2;0;53;D
Guilford County Schools;Washington Elementary;Met;35.9;81.1;0;43;D
Harnett County Schools;Buies Creek Elementary;Met;69.4;42.0;0;72;B
Halifax County Schools;Scotland Neck Primary;Met;42.6;93.8;0;49;D
Harnett County Schools;Coats-Erwin Middle;Met;46.8;66.2;0;53;D
Johnston County Schools;Glendale-Kenly Elementary;NotMet;56.8;60.0;0;58;C
Johnston County Schools;Johnston Co Middle College;N/A;75.0;15.0;0;95;A
Jackson County Schools;Smokey Mountain Elementary;Met;43.6;75.5;0;51;D
Johnston County Schools;McGee's Crossroads Elem;Met;59.5;45.9;0;64;C
Johnston County Schools;Benson Elementary;Exceeded;54.3;71.4;0;61;C
Johnston County Schools;Corinth Holders High;Met;63.2;25.9;0;74;B
Johnston County Schools;Cleveland High;Exceeded;67.6;27.3;0;78;B
Johnston County Schools;Princeton High;Exceeded;59.8;48.6;0;70;B
Yadkin County Schools;Yadkinville Elementary;Met;51.7;74.0;0;57;C
Johnston County Schools;Smithfield Middle;Met;42.3;76.5;0;49;D
Onslow County Schools;Hunters Creek Elementary;Exceeded;62.8;69.3;0;67;C
Rutherford County Schools;Ellenboro Elementary School;Met;66.7;68.3;0;70;B
Newton Conover City Schools;Shuford Elementary;NotMet;64.1;58.8;0;65;C
Onslow County Schools;Northwoods Park Middle;NotMet;47.2;47.0;0;49;D
Wake County Schools;Washington Elementary;Exceeded;70.0;31.5;1;74;B
Onslow County Schools;Richlands Elementary;NotMet;53.6;44.3;0;57;C
Onslow County Schools;Hunters Creek Middle;NotMet;48.6;43.7;0;51;D
Newton Conover City Schools;Newton-Conover High;Met;51.6;55.8;0;67;C
Onslow County Schools;Richlands High;NotMet;50.1;33.6;0;66;C
Onslow County Schools;Swansboro High;NotMet;56.2;32.9;0;69;C
Wilkes County Schools;North Wilkesboro Elementary;NotMet;42.5;87.9;0;46;D
Union County Public Schools;Benton Heights Elementary;Met;38.6;89.4;0;46;D
Union County Public Schools;Hemby Bridge Elementary;Met;77.3;30.6;0;78;B
Surry County Schools;Surry Early College HS Design;Met;84.7;50.3;0;87;A
Stokes County Schools;Walnut Cove Elementary;Exceeded;55.8;70.6;0;62;C
Stanly County Schools;South Stanly Middle;Exceeded;59.8;53.6;0;66;C
Surry County Schools;Surry Central High;NotMet;50.4;59.2;0;63;C
Wake County Schools;Green Hope High;Exceeded;85.4;6.5;1;90;A
Stokes County Schools;West Stokes High;NotMet;47.0;34.0;0;60;C
Wake County Schools;Wilburn Elementary;Met;43.3;65.9;0;51;D
Union County Public Schools;Marvin Elementary;Met;89.3;;0;86;A
Union County Public Schools;Porter Ridge Middle School;Exceeded;68.6;31.8;0;74;B
Union County Public Schools;Rocky River Elementary;Exceeded;72.2;60.0;0;75;B
Wake County Schools;Weatherstone Elementary;Exceeded;80.6;25.5;0;84;B
Union County Public Schools;Unionville Elementary;Met;71.6;36.8;0;73;B
Union County Public Schools;New Salem Elementary;Met;80.8;28.3;0;80;B
Wake County Schools;Barwell Road Elementary;NotMet;41.9;70.2;0;46;D
Wake County Schools;Dillard Drive Elementary;Met;55.3;54.7;0;60;C
Union County Public Schools;Parkwood Middle;Met;60.9;46.8;0;63;C
Wake County Schools;Brooks Elementary;Exceeded;77.8;25.6;0;79;B
Wake County Schools;East Cary Middle;Met;68.6;31.7;0;69;C
Wayne County Public Schools;Eastern Wayne High;NotMet;43.9;48.3;0;60;C
Wilson County Schools;Charles H Darden Middle;Met;29.1;92.7;0;38;F
Watauga County Schools;Valle Crucis Elementary;Met;70.8;40.6;0;73;B
Wayne County Public Schools;Brogden Middle;NotMet;25.6;86.7;0;31;F
Wilkes County Schools;Wilkes Central High;NotMet;49.5;54.6;0;63;C
Wilson County Schools;Forest Hills Middle;Met;49.0;63.6;0;55;C
Wilson County Schools;Beddingfield High;Met;45.8;73.8;0;63;C
Weldon City Schools;Weldon Middle;Exceeded;20.5;91.1;0;34;F
Weldon City Schools;Weldon High;Exceeded;38.6;83.2;0;65;C
Wayne County Public Schools;School Street Elementary;Exceeded;26.5;;0;38;F
Wake County Schools;Wake Young Men's Leadership Academy;NotMet;69.1;32.5;0;67;C
Watauga County Schools;Hardin Park Elementary;Exceeded;72.7;40.5;0;76;B
Wake County Schools;Southeast Raleigh High;Exceeded;44.7;54.8;0;65;C
Wake County Schools;Sanford Creek Elementary;NotMet;60.8;24.8;0;62;C
Wake County Schools;Swift Creek Elementary;NotMet;69.5;42.0;0;67;C
Warren County Schools;Warren County Middle;NotMet;32.3;83.8;0;38;F
Wake County Schools;River Bend Elementary;Met;57.2;61.6;0;62;C
Wake County Schools;West Millbrook Middle;Met;60.8;39.9;1;63;C
Warren County Schools;Warren County High;Met;35.3;78.3;0;56;C
Wake County Schools;York Elementary;Met;62.6;45.4;0;65;C
Wake County Schools;East Wake School of Health Science;Exceeded;56.2;46.9;0;73;B
Wake County Schools;Fuquay-Varina Elementary;Exceeded;71.0;37.6;0;74;B
Wake County Schools;Laurel Park Elementary;Exceeded;81.4;12.2;0;82;B
Wake County Schools;Hilburn Drive Academy;Exceeded;65.0;27.9;0;69;C
Wake County Schools;Penny Road Elementary;Exceeded;77.4;26.2;0;80;B
Wake County Schools;Forest Pines Elementary;Met;67.1;33.0;0;69;C
Wake County Schools;Leesville Road Middle;Met;69.9;24.9;1;71;B
Wake County Schools;Olds Elementary;Exceeded;77.3;24.5;0;79;B
Wake County Schools;Kingswood Elementary;Met;62.4;55.8;0;66;C
Wake County Schools;North Garner Middle;Met;50.1;53.2;0;55;C
Wilson County Schools;Lee Woodard Elementary;NotMet;41.1;68.4;0;45;D
Wilson County Schools;Gardners Elementary;Exceeded;75.0;77.7;0;77;B
Yancey County Schools;East Yancey Middle;Exceeded;67.0;60.2;0;72;B
Wilson County Schools;Winstead Elementary;NotMet;30.8;90.0;0;38;F
Yadkin County Schools;East Bend Elementary;Met;53.7;61.8;0;60;C
Wilson County Schools;Toisnot Middle;Exceeded;46.2;75.3;0;55;C
Yancey County Schools;Cane River Middle;Met;65.7;58.8;0;69;C
Alamance-Burlington Schools;Eastern Alamance High;Met;57.1;35.9;0;69;C
Asheville City Schools;Vance Elementary;Exceeded;74.3;48.7;0;78;B
Anson County Schools;Anson New Tech High;NotMet;26.1;72.0;0;49;D
Charlotte-Mecklenburg Schools;Winding Springs Elementary;NotMet;37.0;85.1;0;42;D
Charlotte-Mecklenburg Schools;Francis Bradley Middle;Exceeded;68.3;33.4;0;73;B
Alamance-Burlington Schools;Marvin B Smith Elementary;NotMet;71.0;44.8;0;68;C
Alamance-Burlington Schools;Harvey R Newlin Elementary;Met;26.6;91.1;0;38;F
Wayne County Public Schools;Northeast Elementary;NotMet;57.2;57.1;0;57;C
Alamance-Burlington Schools;Western Alamance High;NotMet;56.2;26.1;0;69;C
Cabarrus County Schools;Carl A Furr Elementary;Met;62.7;49.1;0;65;C
Charlotte-Mecklenburg Schools;Kennedy Middle;Met;42.2;66.2;0;50;D
Alamance-Burlington Schools;Hawfields Middle;Met;53.4;51.8;0;58;C
Cabarrus County Schools;Cox Mill Elementary;Met;81.3;8.1;0;81;B
Alexander County Schools;Alexander Central High;Exceeded;57.5;45.4;0;73;B
Alexander County Schools;West Alexander Middle;Exceeded;58.2;43.8;0;65;C
Alexander County Schools;Wittenburg Elementary;NotMet;63.5;56.5;0;64;C
Cumberland County Schools;Sherwood Park Elementary;Met;43.9;79.7;0;52;D
Alexander County Schools;Bethlehem Elementary;NotMet;67.0;38.8;0;66;C
Anson County Schools;Wadesboro Elementary;Exceeded;24.8;88.1;0;37;F
Charlotte-Mecklenburg Schools;Reid Park Academy;Met;25.5;93.1;0;37;F
Alleghany County Schools;Piney Creek Elementary;Met;79.1;53.4;0;80;B
Transylvania County Schools;Rosman Elementary;Met;61.8;73.1;0;66;C
Ashe County Schools;Ashe County Middle;Exceeded;65.6;59.7;0;70;B
Chapel Hill-Carrboro Schools;McDougle Middle;Exceeded;76.8;27.1;0;81;B
Wayne County Public Schools;Charles B Aycock High;Met;58.5;39.0;0;71;B
Catawba County Schools;Startown Elementary;Exceeded;60.6;48.2;0;68;C
Beaufort County Schools;John C Tayloe Elementary;Met;50.3;74.5;0;56;C
Beaufort County Schools;S W Snowden Elementary;Met;32.2;93.5;0;40;D
Brunswick County Schools;Shallotte Middle;Exceeded;61.6;62.3;0;69;C
Beaufort County Schools;Northeast Elementary;Met;53.1;68.8;0;59;C
Beaufort County Schools;Northside High;NotMet;47.8;47.7;0;61;C
Bertie County Schools;Bertie Middle;Exceeded;36.7;84.6;0;47;D
Avery County Schools;Avery Middle;Met;52.6;61.8;0;58;C
Asheboro City Schools;Guy B Teachey Elementary;Exceeded;59.5;61.3;0;66;C
Caldwell County Schools;Collettsville School;Exceeded;74.1;59.6;0;77;B
Nash-Rocky Mount Schools;Spring Hope Elementary;Met;35.0;75.4;0;42;D
Asheville City Schools;Hall Fletcher Elementary;Met;52.5;78.2;0;58;C
Asheville City Schools;Ira B Jones Elementary;Met;67.9;40.3;0;69;C
Asheboro City Schools;Lindley Park Elementary;Met;53.2;71.6;0;58;C
Union County Public Schools;Monroe High;Exceeded;34.4;84.5;0;57;C
Asheville City Schools;Asheville High;NotMet;60.5;42.5;0;69;C
Asheville City Schools;Asheville Middle;Met;63.3;52.1;0;65;C
Charter Schools;Voyager Academy;Exceeded;68.8;5.9;0;76;B
Carteret County Public Schools;Morehead Elem at Camp Glenn;Met;57.3;53.0;0;61;C
Charlotte-Mecklenburg Schools;Matthews Elementary;Exceeded;75.1;31.1;0;77;B
Carteret County Public Schools;White Oak Elementary;Met;68.3;31.1;0;71;B
Johnston County Schools;Cleveland Middle;Exceeded;73.7;26.9;0;79;B
Camden County Schools;Grandy Primary;Exceeded;80.8;37.3;0;83;B
Caldwell County Schools;West Lenoir Elementary;NotMet;40.4;;0;46;D
Caldwell County Schools;Dudley Shoals Elementary;Exceeded;60.6;53.8;0;66;C
Caldwell County Schools;Caldwell Career Cen Mid. Coll.;Met;75.0;45.7;0;81;B
Caldwell County Schools;Granite Falls Middle;Exceeded;63.1;48.3;0;69;C
Caldwell County Schools;Baton Elementary;Exceeded;66.0;68.0;0;71;B
Caldwell County Schools;Gamewell Middle;Exceeded;46.7;79.0;0;56;C
Caldwell County Schools;Hudson Middle;Exceeded;63.3;54.9;0;69;C
Caldwell County Schools;Valmead Elementary;Met;40.8;88.8;0;49;D
Charter Schools;Wilmington Preparatory Academy;Exceeded;46.7;50.4;0;55;C
Chatham County Schools;Virginia Cross Elementary;Met;41.8;94.8;0;50;D
Chatham County Schools;J S Waters School;Exceeded;61.0;50.7;0;66;C
Guilford County Schools;Madison Elementary;NotMet;36.0;64.6;0;40;D
Chatham County Schools;Siler City Elementary;Met;47.6;84.6;0;54;D
Guilford County Schools;Grimsley High;Exceeded;67.8;39.6;0;80;B
Charter Schools;Water's Edge Village School;N/A;57.9;23.5;0;56;C
Pender County Schools;Topsail Middle;Exceeded;70.2;31.6;0;76;B
Chatham County Schools;Horton Middle;Met;55.8;45.8;0;59;C
Charter Schools;Union Academy;NotMet;77.8;11.4;0;78;B
Cleveland County Schools;Kings Mountain Middle;NotMet;61.7;59.5;0;63;C
Cherokee County Schools;Andrews Elementary;Exceeded;44.4;71.8;0;54;D
Forsyth County Schools;Jacket Academy at Carver;N/A;0.0;81.3;0;97;A
Clay County Schools;Hayesville Elementary;NotMet;56.7;59.9;0;59;C
Cherokee County Schools;Marble Elementary;Met;58.0;74.2;0;61;C
Cleveland County Schools;Union Elementary;Met;60.7;72.7;0;64;C
Cherokee County Schools;Hiwassee Dam High;Met;57.9;54.8;0;74;B
Hoke County Schools;West Hoke Elementary;Met;31.6;84.7;0;40;D
Durham Public Schools;Lucas Middle;NotMet;40.8;63.8;0;45;D
Cherokee County Schools;Murphy Middle;Met;55.7;65.1;0;60;C
Charlotte-Mecklenburg Schools;Ashley Park PreK-8 School;Met;37.6;94.0;0;46;D
Charlotte-Mecklenburg Schools;Albemarle Road Elementary;Met;37.1;93.3;0;46;D
Charlotte-Mecklenburg Schools;Merry Oaks Elementary;Met;37.7;93.0;0;46;D
Charlotte-Mecklenburg Schools;Bailey Middle;Exceeded;78.8;20.1;0;82;B
Iredell-Statesville Schools;Troutman Middle;NotMet;56.0;58.0;0;58;C
Catawba County Schools;Oxford Elementary;Exceeded;58.0;64.0;0;65;C
Franklin County Schools;Franklinton Elementary;Met;41.2;80.1;0;48;D
Catawba County Schools;Jacobs Fork Middle;Met;62.3;42.3;0;66;C
Madison County Schools;Laurel Elementary;Met;46.2;76.2;0;53;D
Watauga County Schools;Bethel Elementary;Met;48.7;58.8;0;54;D
Charter Schools;Triad Math and Science Academy;NotMet;56.5;52.3;0;58;C
Charter Schools;Two Rivers Community School;NotMet;75.3;38.9;0;74;B
Charter Schools;The Academy of Moore County;Met;69.1;39.9;0;71;B
Charter Schools;Roxboro Community School;NotMet;71.0;15.1;0;72;B
Orange County Schools;Gravelly Hill Middle;Met;53.4;43.4;0;58;C
Charter Schools;Sugar Creek Charter;Exceeded;52.5;87.2;0;60;C
Charter Schools;Research Triangle High;Met;72.0;11.5;0;74;B
Charter Schools;River Mill Academy;Met;62.1;23.9;0;69;C
Charter Schools;Sallie B Howard School;Exceeded;46.6;;0;56;C
Charter Schools;Raleigh Charter High School;Exceeded;;;0;98;A
Cumberland County Schools;Howard Health & Life Sciences;Exceeded;70.0;47.5;0;82;B
Cumberland County Schools;E Melvin Honeycutt Elementary;Exceeded;71.7;39.4;0;74;B
Cumberland County Schools;Ferguson-Easley Elementary;Exceeded;51.4;91.1;0;59;C
Cumberland County Schools;Douglas Byrd High;Met;36.0;77.6;0;58;C
New Hanover County Schools;Walter L Parsley Elementary;Exceeded;90.8;14.4;0;91;A
Charlotte-Mecklenburg Schools;Alexander Graham Middle;Exceeded;71.0;35.8;0;77;B
Bladen County Schools;Clarkton School of Discovery;NotMet;52.3;56.0;0;54;D
Wayne County Public Schools;Fremont STARS Elementary;Met;45.1;66.7;0;53;D
Pasquotank County Schools;Pasquotank County High;Exceeded;43.1;58.4;0;62;C
Lenoir County Public Schools;Rochelle Middle;NotMet;23.3;92.0;0;32;F
Catawba County Schools;Webb A Murray Elementary;Met;50.4;79.1;0;57;C
Tyrrell County Schools;Columbia High;Exceeded;51.5;56.5;0;67;C
Brunswick County Schools;Leland Middle;NotMet;46.0;63.4;0;50;D
Montgomery County Schools;Star Elementary;Met;53.5;71.8;0;59;C
Charlotte-Mecklenburg Schools;Westerly Hills Academy;Exceeded;30.1;94.1;0;42;D
Cherokee County Schools;Ranger Elementary/Middle;Exceeded;63.5;73.4;0;68;C
Brunswick County Schools;Virginia Williamson Elem;NotMet;55.3;69.1;0;56;C
Buncombe County Schools;Avery's Creek Elementary;NotMet;60.2;63.2;0;60;C
Charlotte-Mecklenburg Schools;Sedgefield Middle;NotMet;34.7;83.4;0;38;F
Yancey County Schools;Mountain Heritage High;Met;65.7;44.8;0;74;B
Franklin County Schools;Terrell Lane Middle;Met;38.7;69.3;0;48;D
Catawba County Schools;Saint Stephens High;Met;62.9;47.9;0;70;B
Buncombe County Schools;Erwin Middle;NotMet;54.2;70.2;0;55;C
Brunswick County Schools;Waccamaw;NotMet;56.6;71.0;0;59;C
Charlotte-Mecklenburg Schools;Highland Renaissance Academy;Exceeded;52.8;92.2;0;60;C
Charlotte-Mecklenburg Schools;Nathaniel Alexander Elementary;Met;41.2;78.9;0;48;D
Union County Public Schools;Marshville Elementary;Met;55.8;71.1;0;59;C
Caldwell County Schools;Lower Creek Elementary;Met;63.4;43.1;0;67;C
Alamance-Burlington Schools;Garrett Elementary;Met;57.1;56.0;0;62;C
Catawba County Schools;Blackburn Elementary;Met;64.0;51.3;0;68;C
Alamance-Burlington Schools;Elon Elementary;Met;61.6;36.3;0;66;C
Bertie County Schools;Aulander Elementary;Met;34.8;93.4;0;43;D
Ashe County Schools;Ashe County High;NotMet;62.3;55.3;0;69;C
Alamance-Burlington Schools;Eastlawn Elementary;Met;22.6;;0;33;F
Charlotte-Mecklenburg Schools;Military and Global Leadership Academy;Met;45.2;79.2;0;55;C
Charlotte-Mecklenburg Schools;Independence High;Exceeded;67.1;55.2;0;77;B
